
2024/10/17 (15:47:33) | ===> btop++ v.1.4.0
2024/10/17 (15:47:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/19 (18:37:40) | ===> btop++ v.1.4.0
2024/10/19 (18:37:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/20 (00:14:11) | ===> btop++ v.1.4.0
2024/10/20 (00:14:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/20 (00:30:17) | ===> btop++ v.1.4.0
2024/10/20 (00:30:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/20 (00:33:19) | INFO: Logger set to INFO
2024/10/20 (00:33:19) | INFO: Logger set to DEBUG
2024/10/20 (00:33:22) | INFO: Logger set to INFO

2024/10/20 (00:33:46) | ===> btop++ v.1.4.0
2024/10/20 (00:33:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/20 (17:43:12) | ===> btop++ v.1.4.0
2024/10/20 (17:43:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/21 (12:16:36) | ===> btop++ v.1.4.0
2024/10/21 (12:16:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/10/21 (12:19:24) | ===> btop++ v.1.4.0
2024/10/21 (12:19:24) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
